Qty, PROD_ID, Names, Value, Package
7, CAP-00810, C1; C3; C4; C7; C10; C11; C14, 0.1uF, 0603
4, CAP-00868, C2; C8; C12; C13, 1.0uF, 0603
1, CAP-14259, C5, 10uF, 0805
2, CAP-07822, C6; C9, 0.22uF, 0603
1, CAP-08280, C15, 4.7uF, 0603
1, CAP-14106, C16, 4.7uF, 0603
1, DIO-11284, D1, 3.3V, SOD-323
2, DIO-09003, D2; D6, Yellow, LED-0603
2, DIO-14072, D3; D4, 3A/10V/280mV, SOD-323
1, DIO-00819, D5, RED, LED-0603
1, RES-14313, F1, 6V/2A, 1210
1, HW-14899, H5, STAND-OFF-REFLOW2.5MM_TALL, STAND-OFF-REFLOW-M2.5
1, CONN-14877, J1, MICROMOD-2222-C, M.2-CONNECTOR-E
1, CONN-07820, J4, MICRO-SD-SDIOPUSH-PUSH, MICRO-SD-SOCKET
1, CONN-14122, J5, , USB-C-16P_4LAYER-PADS
1, CONN-11443, J6, , JST-2-SMD
1, CONN-13694, J7, QWIIC_RIGHT_ANGLE, JST04_1MM_RA
2, RES-12083, R1; R2, 5.1k, 0603
2, RES-07828, R3; R5, 100k, 0603
2, RES-00824, R4; R11, 10k, 0603
3, RES-08272, R6; R8; R9, 2.2k, 0603
2, RES-07856, R7; R12, 1k, 0603
1, RES-09383, R10, 20k, 0603
1, RES-07857, R13, 4.7k, 0603
1, SWCH-14139, S1, Reset, TACTILE_SWITCH_SMD_5.2MM
1, SWCH-14139, S2, BOOT, TACTILE_SWITCH_SMD_5.2MM
1, IC-09995, U27, MCP73831, SOT23-5
1, IC-12551, U34, MAX17048, DFN-8
1, VREG-12457, U44, 3.3V, SOT23-5
1, VREG-14094, U64, AP7361C-33, UDFN-8
